Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
91,Battle of Coronel,https://en.wikipedia.org/wiki/Battle_of_Coronel,1-Nov-14,1-Nov-14,"Off Coronel, Chile36°59′1″S 73°48′49″W﻿ / ﻿36.98361°S 73.81361°W﻿ / -36.98361; -73.81361",German victory,Germany,United Kingdom,2 armoured cruisers  3 light cruisers,2 armoured cruisers  1 light cruiser1 auxiliary cruiser,3 wounded,"1,660 killed[1]2 armoured cruisers sunk1 light cruiser damaged",11/1/1914,11/1/1914,{'wounded': [3.0]},"{'killed': [1660.0], 'armoured': [2.0], 'light': [1.0]}","{'armoured': [2.0], 'light': [3.0]}","{'armoured': [2.0], 'light': [1.0], 'auxiliary': [1.0]}"
92,Battle of the Olt Valley,https://en.wikipedia.org/wiki/Battle_of_the_Olt_Valley,28-Oct,27-Nov-16,"Olt Valley, Kingdom of Romania",Central Powers victory,Romania,Austria-Hungary German Empire,,,"Unknown totalZănoaga:700 casualties3 machine guns capturedFirst two weeks of November:7,080 prisoners12 guns captured20 machine guns captured",Unknown totalPoiana Spinului:Prince Heinrich of Bavaria killed,10/28/1916,11/27/1916,"{'casualties': [700.0], 'machine': [3.0, 20.0], 'prisoners': [7080.0], 'guns': [12.0]}",{},{},{}
93,Battle of Kurdamir,https://en.wikipedia.org/wiki/Battle_of_Kurdamir,7-Jul,10 July 1918  (3 days),"Kurdamir, Baku Governorate, Azerbaijan Democratic Republic40°20′18″N 48°09′39″E﻿ / ﻿40.33833°N 48.16083°E﻿ / 40.33833; 48.16083",Ottoman–Azerbaijani victory,Ottoman Empire Azerbaijan,"Baku Commune Russian SFSR


 White movement",,,,,7/7/1918,7/10/1918,{},{},{},{}
94,Battle of Zborov (1917),https://en.wikipedia.org/wiki/Battle_of_Zborov_(1917),1,2-Jul-17,"Zborov, Galicia, Austria-Hungary (now Ukraine)",Czechoslovak and Russian victory,Czechoslovak Legions Russian Provisional Government,"Austria-Hungary

 German Empire","3,530[1][2]","5,500[3]",167 killed700 wounded(17 fatally wounded)11 missing,"3,300 captured(62 officers)20 guns captured",7/1/1917,7/2/1917,"{'killed': [167.0], 'wounded': [700.0], 'fatally': [17.0], 'missing': [11.0]}","{'captured': [3300.0], 'officers': [62.0], 'guns': [20.0]}",{'troops': [3530.0]},{'troops': [5500.0]}
95,Battle of Robănești,https://en.wikipedia.org/wiki/Battle_of_Rob%C4%83ne%C8%99ti,23-Nov-16,23-Nov-16,"Robănești, Dolj County44°17′39″N 24°00′32″E﻿ / ﻿44.29417°N 24.00889°E﻿ / 44.29417; 24.00889",German victory,Romania,German Empire,,,,,11/23/1916,11/23/1916,{},{},{},{}
96,Battle of Lutsk,https://en.wikipedia.org/wiki/Battle_of_Lutsk,4,6-Jun-16,"Lutsk, Galicia",Russian victory,Austria-Hungary,Russian Empire,"200,000[1]","150,000[1]","130,000[2]","34,000[3]",6/4/1916,6/6/1916,{},{},{'troops': [200000.0]},{'troops': [150000.0]}
97,Battle of Gorizia (1916),https://en.wikipedia.org/wiki/Sixth_Battle_of_the_Isonzo,4,16-Aug-16,"Isonzo, Gorizia and Karst Plateau",Italian victory,Italy,Austria-Hungary,203 battalions[1],106 battalions[1],"51,221[2][nb 1]6,310 killed32,784 wounded12,127 missing","37,458[2][nb 2]3,719 killed19,910 wounded13,829 missing",8/4/1916,8/16/1916,"{'killed': [512216310.0], 'wounded': [32784.0], 'missing': [12127.0]}","{'killed': [374583719.0], 'wounded': [19910.0], 'missing': [13829.0]}",{'battalions': [203.0]},{'battalions': [106.0]}
98,Battle of the Crna Bend (1916),https://en.wikipedia.org/wiki/Battle_of_the_Cerna_Bend_(1916),14-Oct,19-Nov-16,"River Crna, Macedonia",Entente victory[1][2],"France
 Serbia
 Russian Empire","Bulgaria
 German Empire",,,Unknown,Heavy,10/14/1916,11/19/1916,{},{},{},{}
99,Battle of Magdhaba,https://en.wikipedia.org/wiki/Battle_of_Magdhaba,23-Dec-16,23-Dec-16,"Sinai peninsula, Egypt30°53′24″N 34°01′12″E﻿ / ﻿30.89000°N 34.02000°E﻿ / 30.89000; 34.02000",British victory,"British Empire

 United Kingdom
 India
 Australia
 New Zealand",Ottoman Empire,"6,000","2,000","22 dead
124 wounded","300+ killed of whom 97 confirmed dead
300 wounded of whom 40 confirmed cared for
1,242–1,282 prisoners",12/23/1916,12/23/1916,"{'dead': [22.0], 'wounded': [124.0]}","{'confirmed': [97.0, 40.0], 'wounded': [300.0], 'prisoners': [1282.0]}",{'troops': [6000.0]},{'troops': [2000.0]}
100,Fifth Battle of Ypres,https://en.wikipedia.org/wiki/Fifth_Battle_of_Ypres,28-Sep,2-Oct-18,"Ypres, Belgium to Ghent, Belgium50°54′1″N 3°1′16″E﻿ / ﻿50.90028°N 3.02111°E﻿ / 50.90028; 3.02111﻿ (Passchendaele (Passendale))",Allied victory,Belgium United Kingdom France   Newfoundland,"German Empire
 Bavaria  Prussia",28 divisions,16 divisions,"British: 4,685  Belgian: 4,500  Newfoundland 15[1]","10,000 POW300 guns 600 machine guns",9/28/1918,10/2/1918,"{'belgian': [4685.0], 'newfoundland': [4500.0]}","{'pow': [10000.0], 'guns': [300.0], 'machine': [600.0]}",{'divisions': [28.0]},{'divisions': [16.0]}
101,Dniester Front,https://en.wikipedia.org/wiki/Battle_of_Dniestr_and_Zolota_Lypa,17-Mar,2-Jun-15,Dniester(present-day Poland and  Western Ukraine),Russian victory[1],German Empire Austria-Hungary,Russian Empire,,,,,3/17/1915,6/2/1915,{},{},{},{}
102,Battle of Sari Bair,https://en.wikipedia.org/wiki/Battle_of_Sari_Bair,6,21-Aug-15,"Gallipoli peninsula, Ottoman Empire",Ottoman victory,"British Empire

 Australia
 India
 New Zealand
 United Kingdom","Ottoman Empire

 German Empire (Military commanders)",4 divisions (initial),Unknown,Unknown,Unknown,8/6/1915,8/21/1915,{},{},{'divisions': [4.0]},{}
103,Battle of the Argeș,https://en.wikipedia.org/wiki/Battle_of_the_Arge%C8%99,1,3-Dec-16,"Bucharest, Romania44°16′N 26°3′E﻿ / ﻿44.267°N 26.050°E﻿ / 44.267; 26.050",Central Powers victory,Kingdom of Romania Russian Empire,German Empire Tsardom of Bulgaria Ottoman Empire Austria-Hungary,"Romanian First Army9 Infantry divisions2 Cavalry divisions150,000 soldiers","Danube Army German Ninth Army11 Infantry divisions3 Cavalry divisions175,000 soldiers","Unknown dead or wounded60,000 prisoners",Unknown,12/1/1916,12/3/1916,{'prisoners': [60000.0]},{},"{'infantry': [9.0], 'cavalry': [2.0], 'soldiers': [150000.0]}","{'infantry': [11.0], 'cavalry': [3.0], 'soldiers': [175000.0]}"
104,Battle of Hanna,https://en.wikipedia.org/wiki/Battle_of_Hanna,21-Jan-16,21-Jan-16,"Hanna defile, present-day Iraq32°38′45″N 46°03′09″E﻿ / ﻿32.6458795°N 46.0526276°E﻿ / 32.6458795; 46.0526276",Ottoman victory,"British Empire

 India
 United Kingdom","Ottoman Empire

 German Empire (military commanders)","10,000 men[citation needed] (remnants of 2 divisions)","30,000 men[citation needed]","2,741 casualties[1]",503 casualties[1],1/21/1916,1/21/1916,{'casualties': [2741.0]},{'casualties': [503.0]},"{'troops': [10000.0], 'divisions': [2.0]}",{'troops': [30000.0]}
105,Battle of Dover Strait (1917),https://en.wikipedia.org/wiki/Battle_of_Dover_Strait_(1917),20,21-Apr-17,Dover Strait51°01′N 1°29′E﻿ / ﻿51.017°N 1.483°E﻿ / 51.017; 1.483,British victory,United Kingdom,German Empire,Destroyer leader BrokeDestroyer leader Swift,6 torpedo boats,Broke heavily damagedSwift lightly damaged22 killed,2 torpedo boats sunk71 killed,4/20/1917,4/21/1917,{'killed': [22.0]},"{'torpedo': [2.0], 'killed': [71.0]}",{},{'torpedo': [6.0]}
106,Battle of Rafa,https://en.wikipedia.org/wiki/Battle_of_Rafa,9-Jan-17,9-Jan-17,Sinai–Palestine border31°15′54″N 34°14′06″E﻿ / ﻿31.265°N 34.235°E﻿ / 31.265; 34.235,British victory,"United Kingdom

 India
 Rhodesia
 Australia New Zealand",Ottoman Empire,Desert ColumnANZAC Mounted DivisionImperial Camel Corps Brigade7th Light Car Patrol,"Ottoman garrison of 2,000 soldiers","71 killed,415 wounded","200 killed,168 wounded,1,434 prisoners",1/9/1917,1/9/1917,"{'killed': [71.0], 'wounded': [415.0]}","{'killed': [200.0], 'wounded': [168.0], 'prisoners': [1434.0]}",{},{'soldiers': [2000.0]}
107,Battle of Albert (1918),https://en.wikipedia.org/wiki/Battle_of_Albert_(1918),,,,,,,,,,,8/21/1918,8/23/1918,{},{},{},{}
108,Battle of Łomża,https://en.wikipedia.org/wiki/Battle_of_%C5%81om%C5%BCa,"March, 1",28-Apr-15,"Poland, (present-day Poland)",Russian victory[1],German Empire,Russian Empire,"540,278[4]","722,441[5] 1,332 machine guns5,189 guns[6]","60,000–90,000[7][8]","308,000[9][10]",3/1/1915,4/28/1915,{},{},{'troops': [540278.0]},"{'machine': [1332.0], 'guns': [5189.0]}"
109,Battle of Mount Ortigara,https://en.wikipedia.org/wiki/Battle_of_Mount_Ortigara,10,25-Jun-17,"Southern Trentino, present-day Italy46°0′36.000″N 11°31′18.998″E﻿ / ﻿46.01000000°N 11.52194389°E﻿ / 46.01000000; 11.52194389",Austro-Hungarian victory[1],Italy,Austria-Hungary,"300,0001,600 guns","100,000500 guns","23,000 dead or wounded","9,000 dead or wounded",6/10/1917,6/25/1917,{'dead': [23000.0]},{'dead': [9000.0]},{'guns': [3000001600.0]},{'guns': [100000500.0]}
110,Battle of Nagyszeben (1916),https://en.wikipedia.org/wiki/Battle_of_Sibiu_(1916),26,29-Sep-16,"Southeastern Transylvania, Austria-Hungary (Szeben, Fogaras and Nagy-Küküllő counties) and  northwestern Wallachia, Romania (Vâlcea and Argeș counties)",Decisive Central Powers victory[1][2],Romania,German Empire Austria-Hungary,"I Corps:20,000+ (25 battalions of over 800 men)16 batteries (2 heavy)3 aircraft (1 operational)Toma Popescu Detachment (26 June):1 Jäger battalion2 howitzers1 militia platoon (15 men)","XXXIX Corps:17,500–21,000 (35 battalions of 500–600 men)54 batteries (13 heavy)Alpine Corps:9 battalions2 mountain batteries","I Corps (1st Army):3,000 prisoners13 guns captured6 machine-guns captured2 aircraft captured2nd Army:Unknown total1 aircraft captured",Unknown total300 prisoners (28–29 September),9/26/1916,9/29/1916,"{'total': [1.0], 'prisoners': [3000.0], 'guns': [13.0], 'machine': [6.0], 'aircraft': [2.0], 'nd': [2.0]}","{'total': [300.0], 'september': [29.0]}","{'battalions': [25.0], 'troops': [800.0, 15.0], 'batteries': [16.0], 'heavy': [2.0], 'aircraft': [3.0], 'operational': [1.0], 'j': [1.0], 'howitzers': [2.0], 'militia': [1.0]}","{'battalions': [35.0, 9.0], 'troops': [500.0, 600.0], 'batteries': [54.0], 'heavy': [13.0], 'mountain': [2.0]}"
111,Battle of Château-Thierry (1918),https://en.wikipedia.org/wiki/Battle_of_Ch%C3%A2teau-Thierry_(1918),"July 18, 1918 (The offensive start date)","July 18, 1918 (The offensive start date)","Château-Thierry, Aisne, France49°2′31″N 3°22′19″E﻿ / ﻿49.04194°N 3.37194°E﻿ / 49.04194; 3.37194",Allied victory,France  United States Belgium,Germany,,,"1,908 casualties [1]","5,328 casualties",7/18/1918,7/18/1918,{'casualties': [1908.0]},{'casualties': [5328.0]},{},{}
112,Battle of Moreuil Wood,https://en.wikipedia.org/wiki/Battle_of_Moreuil_Wood,30-Mar-18,30-Mar-18,"Southeast of Amiens in Moreuil, France, on the banks of the Avre River.",See Aftermath section,United Kingdom Canada,Germany,"Units of The Royal Canadian Dragoons
Units of Lord Strathcona’s Horse
Units of the Fort Garry Horse
Units of the 3rd Cavalry Division",23rd Saxon Division,305,unknown,3/30/1918,3/30/1918,{},{},{},{}
113,Battle of Beersheba (1917),https://en.wikipedia.org/wiki/Battle_of_Beersheba_(1917),31-Oct-17,31-Oct-17,"Beersheba, Ottoman Empire",British victory,United Kingdom Australia New Zealand Arab Revolt,Ottoman Empire Germany (military commanders),"47,500 rifles15,000 troopers","4,400 rifles60 machine guns28 field guns",171 killed in action,"~ 1,000 killed or wounded[1]1,947 prisoners",10/31/1917,10/31/1917,{'killed': [171.0]},"{'killed': [1000.0], 'prisoners': [1947.0]}","{'rifles': [47500.0], 'troopers': [15000.0]}","{'rifles': [4400.0], 'machine': [60.0], 'field': [28.0]}"
114,Battle of the Canal du Nord,https://en.wikipedia.org/wiki/Battle_of_the_Canal_du_Nord,"September 27 - October 1, 1918","September 27 - October 1, 1918",Canal du Nord50°17′N 3°07′E﻿ / ﻿50.283°N 3.117°E﻿ / 50.283; 3.117,Allied victory,"United Kingdom

 Canada
 New Zealand",German Empire,,,"30,000","36,500 POW380 guns",9/27/1918,10/1/1918,{},"{'pow': [36500.0], 'guns': [380.0]}",{},{}
115,Battle of Skra-di-Legen,https://en.wikipedia.org/wiki/Battle_of_Skra-di-Legen,29,31-May-18,"Skra, Kingdom of Greece",Entente victory,"Greece
 France
 United Kingdom",Bulgaria,"5 regiments (from 3 divisions)
 1 brigade with cannons and flamethrowers
 2 Artillery batteries",1 brigade,"441 killed
2,227 wounded
164 missing[1]","600 killed
2,313 captured (included wounded)
12 artillery pieces and 32 machine guns, as well as other equipment captured",5/29/1918,5/31/1918,"{'killed': [441.0], 'wounded': [2227.0], 'missing': [164.0]}","{'killed': [600.0], 'captured': [2313.0], 'artillery': [12.0], 'machine': [32.0]}","{'regiments': [5.0], 'divisions': [3.0], 'brigade': [1.0], 'artillery': [2.0]}",{'brigade': [1.0]}
116,Battle of Caporetto,https://en.wikipedia.org/wiki/Battle_of_Caporetto,24-Oct,19-Nov-17,"Kobarid, Austria-Hungary(present day Slovenia)46°12′52″N 13°38′33″E﻿ / ﻿46.21444°N 13.64250°E﻿ / 46.21444; 13.64250",Central Powers victory,Austria-Hungary Germany,Italy,"353,000 soldiers, 2,518 artillery pieces [1]","257,400 soldiers, 1,342 artillery pieces [1]","70,000","13,000 dead30,000 wounded265,000–275,000 captured


300,000 stragglers50,000 deserters3,152 artillery pieces1,712 mortars3,000 machine guns300,000 rifles",10/24/1917,11/19/1917,{},"{'dead': [13000.0], 'wounded': [30000.0], 'captured': [275000.0], 'stragglers': [300000.0], 'deserters': [50000.0], 'artillery': [3152.0], 'mortars': [1712.0], 'machine': [3000.0], 'rifles': [300000.0]}","{'soldiers': [353000.0], 'artillery': [2518.0]}","{'soldiers': [257400.0], 'artillery': [1342.0]}"
117,Battle of Ardahan,https://en.wikipedia.org/wiki/Battle_of_Ardahan,25-Dec-14,18-Jan-15,"Ardahan, Kars Oblast, Russian Empire",Russian victory[1],Russian Empire,Ottoman Empire,,,Unknown,"22 December only:[2]2,000 dead1,027 captured",12/25/1914,1/18/1915,{},"{'december': [22.0], 'dead': [2000.0], 'captured': [1027.0]}",{},{}
118,Battle of Antrea,https://en.wikipedia.org/wiki/Battle_of_Antrea,11-Feb,25 April 1918(2 months and 2 weeks),"Antrea and Jääski, Finland",Red withdrawal,Finnish Whites,Finnish Reds Russian Volunteers,"1,500–2,000","2,000–4,000",300 killed,324 killed,2/11/1918,4/25/1918,{'killed': [300.0]},{'killed': [324.0]},{},{}
119,Battle of Cocos,https://en.wikipedia.org/wiki/Battle_of_Cocos,9-Nov-14,9-Nov-14,"Off the Keeling Islands, Indian Ocean",Australian victory,Australia,Germany,Light cruiser Sydney,Light cruiser Emden Collier Buresk,4 killed  16 wounded  Sydney damaged,134 killed  69 wounded  157 captured  Emden wrecked  Buresk scuttled,11/9/1914,11/9/1914,"{'killed': [4.0], 'wounded': [16.0]}","{'killed': [134.0], 'wounded': [69.0], 'captured': [157.0]}",{},{}
120,Third Battle of Oituz,https://en.wikipedia.org/wiki/Third_Battle_of_Oituz,8,22-Aug-17,"Border of Austria-Hungary and Romania (today in Bacău and Covasna counties, eastern Romania)46°12′32.91″N 26°26′27.7″E﻿ / ﻿46.2091417°N 26.441028°E﻿ / 46.2091417; 26.441028",Romanian defensive victory,Romania Russian Republic,Austria-Hungary German Empire,Unknown,Unknown,Unknown,"1,500+",8/8/1917,8/22/1917,{},{},{},{}
121,First Battle of the Jiu Valley,https://en.wikipedia.org/wiki/First_Battle_of_the_Jiu_Valley,23-Oct,1-Nov-16,"Jiu Valley, Romania",Romanian victory,Romania,German Empire Austria-Hungary,,,Unknown total9 guns captured on 24 October but recovered on the 28th,"3,210 combat casualties

1,500+ killed
1,600+ captured
90% of Erwin Rommel's company sick8 guns and two howitzer batteries captured14 machine guns captured",10/23/1916,11/1/1916,"{'total': [9.0], 'october': [24.0], 'th': [28.0]}","{'combat': [3210.0], 'guns': [8.0], 'machine': [14.0]}",{},{}
122,Second Battle of Kut,https://en.wikipedia.org/wiki/Second_Battle_of_Kut,23-Feb-17,23-Feb-17,"Kut, Mesopotamia (present-day Iraq)32°30′20″N 45°49′29″E﻿ / ﻿32.505556°N 45.824722°E﻿ / 32.505556; 45.824722",British-Indian victory,"British Empire

 India
 United Kingdom",Ottoman Empire,"50,000[1]","17,000[1]",,,2/23/1917,2/23/1917,{},{},{'troops': [50000.0]},{'troops': [17000.0]}
123,Battle of Cambrai (1917),https://en.wikipedia.org/wiki/Battle_of_Cambrai_(1917),20-Nov,7 December 1917; 2 weeks and 3 days,"Cambrai, France50°10′36″N 03°14′08″E﻿ / ﻿50.17667°N 3.23556°E﻿ / 50.17667; 3.23556",See Aftermath section,"United Kingdom

 India[1]
 Newfoundland[2]
 France United States[3] China[4]",Germany,"15 infantry divisions[5]4 cavalry divisions[5]1,003 guns[6]476 tanks (378 combat tanks)","20 infantry divisions[5]1,194–1,240 guns[7][8]","44,207 (c. 6,000 POW)[5] (47,596, 20 November to 8 December)[9]Tanks, 20 November: 179 (65 knocked out, 71 breakdowns, 43 other)","54,720: 8,817 killed, 11,105 POW[5]",11/20/1917,12/7/1917,"{'pow': [6000.0], 'november': [20.0, 20.0], 'december': [8.0], 'knocked': [65.0], 'breakdowns': [71.0], 'other': [43.0]}","{'killed': [8817.0], 'pow': [11105.0]}","{'infantry': [15.0], 'cavalry': [4.0], 'guns': [1003.0], 'tanks': [476.0], 'combat': [378.0]}","{'infantry': [20.0], 'guns': [1194.0, 1240.0]}"
124,Battle of Penang,https://en.wikipedia.org/wiki/Battle_of_Penang,28-Oct-14,28-Oct-14,"Penang Strait, off Penang, Straits Settlements, British Malaya5°24′19″N 100°21′9″E﻿ / ﻿5.40528°N 100.35250°E﻿ / 5.40528; 100.35250",German victory,"Russia
 France
 Great Britain",Germany,"1 protected cruiser
1 cruiser
2 destroyers",1 light cruiser,"135 killed
157 wounded
1 protected cruiser sunk
1 destroyer sunk",,10/28/1914,10/28/1914,"{'killed': [135.0], 'wounded': [157.0], 'protected': [1.0], 'destroyer': [1.0]}",{},"{'protected': [1.0], 'cruiser': [1.0], 'destroyers': [2.0]}",{'light': [1.0]}
125,Battle of Saint-Mihiel,https://en.wikipedia.org/wiki/Battle_of_Saint-Mihiel,12,15-Sep-18,"Saint-Mihiel salient, France48°53′21″N 05°32′37″E﻿ / ﻿48.88917°N 5.54361°E﻿ / 48.88917; 5.54361",Allied victory,United States   France,German Empire Austria-Hungary,": 216,000 men, 144 tanks: 48,000 men, 275 tanks 1,481 aircraft 2,900 artillery pieces",": 75,000 men, 213 aircraft[2]","7,000[3]","22,500 (2,000 KIA, 5,500 WIA, 15,000 POW)450 guns captured[4]",9/12/1918,9/15/1918,{},"{'kia': [2000.0], 'wia': [5500.0], 'pow': [15000.0], 'guns': [450.0]}","{'troops': [216000.0, 48000.0], 'tanks': [144.0, 275.0], 'aircraft': [1481.0], 'artillery': [2900.0]}","{'troops': [75000.0], 'aircraft': [213.0]}"
126,Battle of the Four Rivers,https://en.wikipedia.org/wiki/Battle_of_the_Four_Rivers,16-Dec,16 January [O.S. 3 December,"near Warsaw, Congress Poland, Russian Empire (now Poland)",Russian victory,German Empire Austria-Hungary,Russian Empire,"600,000 men","500,000 men","120,000 total","150,000 to 200,000 total",12/16/1914,1/16/1915,"{'total': [120000.0, 120000.0]}","{'total': [200000.0, 200000.0], 'to': [150000.0]}",{'troops': [600000.0]},{'troops': [500000.0]}
127,First Battle of Ypres,https://en.wikipedia.org/wiki/First_Battle_of_Ypres,19-Oct,22-Nov-14,"Ypres, Belgium50°51′7″N 2°53′28″E﻿ / ﻿50.85194°N 2.89111°E﻿ / 50.85194; 2.89111",Indecisive,"France
 Belgium
 United Kingdom",Germany,"3,989,103
 c. 247,000
 163,897
Total: 4,400,000","5,400,000","50,000–85,000
 58,155
 21,562","80,000",10/19/1914,11/22/1914,{},{},"{'total': [163897.0, 163897.0], 'c': [3989103.0]}",{'troops': [5400000.0]}
128,Battle of Mulhouse,https://en.wikipedia.org/wiki/Battle_of_Mulhouse,7,"10, 14","Vicinity of Mulhouse, Alsace47°44′58″N 7°20′24″E﻿ / ﻿47.74944°N 7.34000°E﻿ / 47.74944; 7.34000",German victory,France,Germany,"First Army
VII Corps
(45,000 men)
Army of Alsace","7th Army
XIV and XV Corps
(30,000 men engaged)","2,500 PoW","3,000 PoW",8/7/1914,8/26/1914,{'pow': [2500.0]},{'pow': [3000.0]},{'troops': [45000.0]},{'troops': [30000.0]}
129,Battles of Ramadi (1917),https://en.wikipedia.org/wiki/Battle_of_Ramadi_(1917),8,13 July 1917(5 days),"Ramadi, west of Baghdad, present-day Iraq33°25′N 43°18′E﻿ / ﻿33.417°N 43.300°E﻿ / 33.417; 43.300",Ottoman victory,"British Empire

 India
 United Kingdom",Ottoman Empire,7th Infantry Brigade [1],"1,000",566 (321 heatstroke)[2],c. 250 plus c. 100 desertions[3],7/8/1917,7/13/1917,{'heatstroke': [321.0]},"{'plus': [250.0], 'desertions': [100.0]}",{},{'troops': [1000.0]}
130,Second Battle of Champagne,https://en.wikipedia.org/wiki/Second_Battle_of_Champagne,25-Sep,6-Nov-15,"Champagne, France49°11′04″N 04°32′39″E﻿ / ﻿49.18444°N 4.54417°E﻿ / 49.18444; 4.54417",German victory[1],France,German Empire,Fourth ArmySecond Army(27 divisions),3rd Army(19 divisions),"145,000","97,000(25,000 taken prisoner)",9/25/1915,11/6/1915,{},{'taken': [25000.0]},{'divisions': [27.0]},{'divisions': [19.0]}
131,Second Battle of Heligoland Bight,https://en.wikipedia.org/wiki/Second_Battle_of_Heligoland_Bight,17-Nov-17,17-Nov-17,"Heligoland Bight, North Sea54°10′N 8°04′E﻿ / ﻿54.167°N 8.067°E﻿ / 54.167; 8.067",Indecisive,United Kingdom,German Empire,3 battlecruisers8 light cruisers10 destroyers,2 battleships4 light cruisers8 destroyers14 minesweepers,22 men killed43 wounded1 light cruiser damaged,21 men killed40 wounded22  (POW)1 minesweeper sunk1 light cruiser damaged,11/17/1917,11/17/1917,"{'men': [22.0], 'wounded': [43.0], 'light': [1.0]}","{'men': [21.0], 'wounded': [40.0], 'minesweeper': [1.0], 'light': [1.0]}","{'battlecruisers': [3.0], 'light': [8.0], 'destroyers': [10.0]}","{'battleships': [2.0], 'light': [4.0], 'destroyers': [8.0], 'minesweepers': [14.0]}"
132,Eleventh Battle of the Isonzo,https://en.wikipedia.org/wiki/Eleventh_Battle_of_the_Isonzo,18-Aug,12-Sep-17,"Isonzo (Soča), near Monfalcone, Italy; Banjšice Plateau (Altopiano della Bainsizza), Slovenia",Italian tactical victory,Italy,Austria-Hungary Germany,"600 battalions5,200 guns","250 battalions2,200 guns","158,000 casualties:  30,000 dead108,000 wounded20,000 missing or taken prisoner","115,000 casualties:  20,000 dead45,000 wounded30,000 missing20,000 taken prisoner",8/18/1917,9/12/1917,"{'casualties': [158000.0], 'dead': [30000.0], 'wounded': [108000.0], 'missing': [20000.0]}","{'casualties': [115000.0], 'dead': [20000.0], 'wounded': [45000.0], 'missing': [30000.0], 'taken': [20000.0]}","{'battalions': [600.0], 'guns': [5200.0]}","{'battalions': [250.0], 'guns': [2200.0]}"
133,Second Battle of Ypres,https://en.wikipedia.org/wiki/Second_Battle_of_Ypres,22-Apr,25-May-15,"Ypres, Belgium50°53′58″N 02°56′26″E﻿ / ﻿50.89944°N 2.94056°E﻿ / 50.89944; 2.94056",See Analysis section,"British Empire

 Canada
 India
 United Kingdom
 France

 Algeria
 Morocco
 Belgium",German Empire,"2 French divisions
6 British divisions",7 divisions,"French: 2,000–3,000 to 21,973
British: 59,275","35,000+",4/22/1915,5/25/1915,"{'to': [3000.0], 'british': [21973.0]}",{},"{'french': [2.0], 'british': [6.0]}",{'divisions': [7.0]}
134,Battle of Nsanakong,https://en.wikipedia.org/wiki/Battle_of_Nsanakong,6-Sep-14,6-Sep-14,"Nsanakong, German Kamerun",German victory,"British Empire

 British Nigeria","German Empire

 German Kamerun",~200,800[2],"8 British officers[3]160 Nigerians (95 dead, 16 wounded, 49 captured)[4]","113 (43 dead, 70 wounded)[5]",9/6/1914,9/6/1914,"{'british': [8.0], 'nigerians': [160.0], 'dead': [95.0], 'wounded': [16.0], 'captured': [49.0]}","{'dead': [43.0], 'wounded': [70.0]}",{'troops': [200.0]},{'troops': [800.0]}
135,Battle of Sheikh Sa'ad,https://en.wikipedia.org/wiki/Battle_of_Sheikh_Sa%27ad,6,8-Jan-16,Mesopotamia (present-day Iraq),See aftermath,"British Empire

 India
 United Kingdom","Ottoman Empire

 German Empire (Military Commanders)","13,330 men total

9,900 infantry
1,340 cavalry
42 artillery pieces","3,400 infantry20 artillery pieces1 brigade of cavalry","4,262 casualties:[1]1,962 dead[citation needed]2,300 wounded[citation needed]","1,200 casualties:[1]Unknown dead,512 prisoners[citation needed]2 artillery pieces captured[citation needed]",1/6/1916,1/8/1916,"{'casualties': [4262.0], 'dead': [1962.0], 'wounded': [2300.0]}","{'casualties': [1200.0], 'prisoners': [512.0], 'artillery': [2.0]}","{'total': [9900.0], 'troops': [13330.0], 'infantry': [9900.0], 'cavalry': [1340.0], 'artillery': [42.0]}","{'infantry': [3400.0], 'artillery': [20.0], 'brigade': [1.0]}"
136,Second Battle of the Somme,https://en.wikipedia.org/wiki/Second_Battle_of_the_Somme,21-Aug,3-Sep-18,"Somme River, France",Allied victory,"British Empire

 Australia
 New Zealand
 Canada
 United Kingdom
 United States",Germany,British Third Army British Fourth Army United States II Corps,German Second Army,"11,500 casualties[1] 5,600 casualties","""Heavy"", 6,000 taken prisoner",8/21/1918,9/3/1918,"{'casualties': [11500.0, 5600.0]}",{'taken': [6000.0]},{},{}
137,Battle of Asiago,https://en.wikipedia.org/wiki/Battle_of_Asiago,15-May,10-Jun-16,"Asiago plateau, Veneto, Italy",Italian defensive victory  Austro-Hungarian retreat Austro-Hungarian failure on capturing the Asiago plateau,Italy,Austria-Hungary,172 battalions850 guns,"300 battalions2,000 guns","15,453 killed76,642 wounded55,635 missing or captured[1]","10,203 killed45,651 wounded26,961 missing or captured[2]",5/15/1916,6/10/1916,"{'killed': [15453.0], 'wounded': [76642.0], 'missing': [55635.0]}","{'killed': [10203.0], 'wounded': [45651.0], 'missing': [26961.0]}","{'battalions': [172.0], 'guns': [850.0]}","{'battalions': [300.0], 'guns': [2000.0]}"
138,Battle of Khanaqin,https://en.wikipedia.org/wiki/Battle_of_Khanaqin,4 June 1916[note 1],4 June 1916[note 1],"Khanaqin, Ottoman Empire",Ottoman victory,Russia,Ottoman Empire,"15,000 infantry7,500 cavalry","25,000[1]",>500 killedMany wounded,~400 killed,6/4/1916,6/4/1916,{'killedmany': [500.0]},{'killed': [400.0]},"{'infantry': [15000.0], 'cavalry': [7500.0]}",{'troops': [25000.0]}
